Submitted on,Technical Name,Name,Original performer,Original date performed,Video link,Start position,End position,Difficulty,Description,Do you have any tips?
03/12/2022 21:31:33,Back Almighty from Nevermind,Nevermindhty,Emil Breuer,07/07/2022,https://www.instagram.com/p/CggrqR7gV5j/,NEVERMIND,EXPOSURE,7,Start like a normal Nevermind but then push into the line with the foot that is already on the line to create momentum into a back roll. Use your second foot to hook the line and finish with a Back Almighty.,
28/07/2023 14:24:15,From sofa to handstand to sofa,Catwheel ,Tomáš Michel ,27/05/2023,https://www.instagram.com/reel/CvPiE2goN-l/,SOFA,SOFA,4,"Starting in sofa with ring front you, catch the line on your side and in 75% of way up in the bounce push to handstand to you are fully extended on the top of the bounce, after you continue in motion to side landing in sofa.",Play with handstand from sofa and drop it to leashfall to get feeling of this position and land trick in side rotation.
28/07/2023 14:34:32,From feet to handstand to sofa ,Catwheel from feet ,Tomáš Michel ,27/07/2023,https://www.instagram.com/reel/CvPiE2goN-l/,STAND,SOFA,6,"Before top of bounce you lean to catch line and push to handstand on the top, continue in side motion to drop it to sofa",You should be familiar with basic catwheel and feel comfortable to drop trick from feet.
28/07/2023 14:38:04,From sofa to handstand to exposure ,Catwheel to feet,Tomáš Michel ,29/05/2023,https://www.instagram.com/reel/CvPiE2goN-l/,SOFA,EXPOSURE,7,Starting in sofa push to handstand continue side motion landing to feet.,Have solid Catwheel 
29/08/2023 22:00:36,Triplo shoulder roll,Vortex ,Lucas clemente Pereira ,01/12/2021,https://www.instagram.com/tv/CYTUaA5uwWa/,SHOULDER,SHOULDER,9,Ter o double sholder roll na base ,Executar com muita força 
05/03/2025 16:51:47,Sushi Backflip,Sushi-Flip,Ian Eisenberg,07/08/2022,https://www.instagram.com/p/Cg8_eXWLmXw/,STAND,STAND,10,Start with an early Sushi and add a Backflip to it,
05/03/2025 17:04:41,No-Hands Backflip,,Ian Eisenberg,08/08/2022,https://www.instagram.com/p/Cg_eTDJLsZ6/,STAND,STAND,9,Like a regular Backflip but without using your hands.,
05/03/2025 17:05:22,Backbounce roll half spiral to feet ,Chill,Sakalomo,19/01/2022,https://www.instagram.com/reel/CY6eIm2K4_M/,BACK,STAND,6,"Start from backbounce and grab the line with one hand. Before the top of the bounce throw yourself to the side of the hand that grabs the line. Do a roll below the line, take with both hands and put your feet. ",Timing is key. When you throw yourself think of kicking up with your knees/feet to initiate the rotation.
05/03/2025 17:07:36,BS 360 Rocket Mount,,Ian Eisenberg,14/08/2022,https://www.instagram.com/p/ChPQYxLMAMA/,ROCKET,EXPOSURE,7,Rocket Mount with a 360 spinning to your backside.,
05/03/2025 17:21:01,Rocket Line Bite,Sharkbite,Ian Eisenberg,25/08/2022,https://www.instagram.com/p/ChsA7RvrV7m/,ROCKET,ROCKET,4,From Rocket you pull yourself up so you're able to bite the line and let go with the hands. Then grab the line again and drop back to Rocket.,Watch out to not bite your lips
05/03/2025 17:28:31,Makako to feet with an extra back yoda roll ,Gorilla,Sakalomo,11/08/2022,https://www.instagram.com/reel/ChH21QWAYmw/,NEVERMIND,EXPOSURE,10,Do a makako to feet and add an extra back yoda roll,
05/03/2025 17:28:39,360 Rocket (over Bat-Hang),Batman,Ian Eisenberg,25/08/2022,https://www.instagram.com/p/ChsA7RvrV7m/,ROCKET,ROCKET,5,"You drop to Rocket slightly uncentered such that you can get some momentum by swinging to one side. From there you use the momentum to swing your legs to the other side and all the way up to hook the line with both feet (the Bat-Hang position), you let go with your hands and do a 360 under the line by regrabbing the line on the other side of your feet. Unhook your feet and land back in Rocket.",
05/03/2025 17:35:32,Double Darth Vader,,Justin Wagers / Ian Eisenberg,25/08/2022,https://www.instagram.com/p/ChsjejWLu8d/,ROCKET,EXPOSURE,10,It's a Darth Vader with an extra roll.,
05/03/2025 17:35:32,Backbounce back almighty ,Backalomo,Sakalomo,17/10/2022,https://www.instagram.com/reel/Cj0cYssPTO2/,BACK,EXPOSURE,9,"Do a backbounce, when you stand up hook your foot under the line to do a back almighty.",
05/03/2025 17:40:11,Darkside Almighty,All-Nasty,Ian Eisenberg,27/08/2025,https://www.instagram.com/p/Chxgwo6s6g_/,SOFA,EXPOSURE,8,It's a Darkside Roll but you let go with the hands while you're doing the trick and hook with one foot to finish the trick like a Back Almighty.,
05/03/2025 17:40:13,Back shapeshifter ,A chuparla,Sakalomo,24/10/2022,https://www.instagram.com/reel/CkGq5w3unmy/,EXPOSURE,ROCKET,6,"Bounce hard, almost at the top of the bounce throw yourself backwards and do a backflip without touching the line. Put your hands up and grab the line to end in the rocket position.",
05/03/2025 17:44:40,Chill to shoulder ,Sakalhombro,Sakalomo ,23/12/2022,https://www.instagram.com/reel/Cmg1feNqD52/,BACK,SHOULDER,7,Do a chill but instead of landing on your feet go to shoulder.,
05/03/2025 17:45:31,540 Rocket to Sofa,,Ian Eisenberg,29/08/2022,https://www.instagram.com/p/Ch11yrdsUEG/,ROCKET,SOFA,6,540 from Rocket to Sofa.,
05/03/2025 17:48:56,Backside orbital to feet.,Eclipse ,Sakalomo,10/01/2023,https://www.instagram.com/reel/CnPMRSyDbqI/,STAND,STAND,8,Just like an orbital to feet but throw the line to your backside. Land on your feet.,Timing is key when throwing the line.
05/03/2025 17:49:13,FS 360 Back Almighty,,Ian Eisenberg,01/09/2022,https://www.instagram.com/p/Ch99aJdpyUo/,STAND,STAND,8,Start with a frontside spin and then transition into the Back Almighty,
06/03/2025 13:49:28,Chill to darth Vader ,Chillin Vader,Sakalomo,04/06/2023,https://www.instagram.com/reel/CuSHxPyt1Or/,BACK,EXPOSURE,8,"Go to backbounce, do a chill but instead of going directly to feet do a darth vader motion to end in expo.",
06/03/2025 13:56:28,Nevermind panic roll to feet ,Never panic ,Sakalomo,06/09/2023,https://www.instagram.com/reel/Cw2TcR2MYwg/,NEVERMIND,EXPOSURE,7,Go to nevermind position. When you go up the bounce cross your foot and start a panic roll. Grab the line with both hands and put your feet.,
06/03/2025 14:03:26,Backbounce back almighty 180,Backalomo 180,Sakalomo,30/09/2023,https://www.instagram.com/reel/Cxz3jG-MvFX/,BACK,EXPOSURE,9,"Do a backbounce, when you go up hook your foot on the line and start a back almighty and when you are upside down start a 180 motion, en in feet.",
06/03/2025 14:07:06,Reverse super sonic but instead of a back yoda roll do a back almighty ,Reverse super mighty,Sakalomo,30/09/2023,https://www.instagram.com/reel/Cxz3jG-MvFX/,ROCKET,EXPOSURE,9,Do a reverse súper sonic but instead of doing a back yoda roll do a back almighty ,
